﻿Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
05OJ022,2,8,2000,01,,,,,217.329,,217.322,,217.523,,217.504,,,,,,,,,,,,,
05OJ022,2,8,2000,02,,,,,217.297,,217.401,,217.167,,217.400,,,,,,,,,,,,,
05OJ022,2,8,2000,03,,,,,217.329,,217.407,,217.365,,217.487,,,,,,,,,,,,,
05OJ022,2,8,2000,04,,,,,217.394,,217.293,,217.285,,217.399,,,,,,,,,,,,,
05OJ022,2,8,2000,05,,,,,217.467,,217.390,,217.288,,217.234,,,,,,,,,,,,,
05OJ022,2,8,2000,06,,,,,217.525,,217.482,,217.358,,217.491,,,,,,,,,,,,,
05OJ022,2,8,2000,07,,,,,217.558,,217.303,,217.299,,217.287,,,,,,,,,,,,,
05OJ022,2,8,2000,08,,,,,217.563,,217.318,,217.447,,217.589,,,,,,,,,,,,,
05OJ022,2,8,2000,09,,,,,217.521,,217.391,,217.526,,217.519,,,,,,,,,,,,,
05OJ022,2,8,2000,10,,,,,217.478,,217.310,,217.483,,217.608,,,,,,,,,,,,,
05OJ022,2,8,2000,11,,,,,217.464,,217.305,,217.602,,217.372,,,,,,,,,,,,,
05OJ022,2,8,2000,12,,,,,217.441,,217.213,,217.891,,217.283,,,,,,,,,,,,,
05OJ022,2,8,2000,13,,,,,217.432,,217.337,,217.864,,217.448,,,,,,,,,,,,,
05OJ022,2,8,2000,14,,,,,217.433,,217.590,,217.503,,217.906,,,,,,,,,,,,,
05OJ022,2,8,2000,15,,,,,217.423,,217.325,,217.350,,217.852,,,,,,,,,,,,,
05OJ022,2,8,2000,16,,,,,217.415,,217.291,,217.322,,218.066,,,,,,,,,,,,,
05OJ022,2,8,2000,17,,,,,217.392,,217.184,,217.654,,217.650,,,,,,,,,,,,,
05OJ022,2,8,2000,18,,,,,217.371,,217.313,,217.506,,217.385,,,,,,,,,,,,,
05OJ022,2,8,2000,19,,,,,217.404,,217.359,,217.181,,217.402,,,,,,,,,,,,,
05OJ022,2,8,2000,20,,,,,217.381,,217.256,,217.372,,217.454,,,,,,,,,,,,,
05OJ022,2,8,2000,21,,,,,217.386,,217.207,,217.247,,217.695,,,,,,,,,,,,,
05OJ022,2,8,2000,22,,,,,217.350,,217.391,,217.352,,217.776,,,,,,,,,,,,,
05OJ022,2,8,2000,23,,,,,217.349,,217.263,,217.447,,217.579,,,,,,,,,,,,,
05OJ022,2,8,2000,24,,,,,217.334,,217.205,,217.595,,217.661,,,,,,,,,,,,,
05OJ022,2,8,2000,25,,,,,217.368,,217.227,,217.559,,217.637,,,,,,,,,,,,,
05OJ022,2,8,2000,26,,,,,217.333,,217.361,,217.266,,217.816,,,,,,,,,,,,,
05OJ022,2,8,2000,27,,,,,217.424,,217.369,,217.219,,217.860,,,,,,,,,,,,,
05OJ022,2,8,2000,28,,,,,217.338,,217.442,,217.048,,217.707,,,,,,,,,,,,,
05OJ022,2,8,2000,29,,,,,217.315,,217.162,,217.222,,217.657,,,,,,,,,,,,,
05OJ022,2,8,2000,30,,,,,217.325,,217.253,,217.449,,217.658,,,,,,,,,,,,,
05OJ022,2,8,2000,31,,,,,217.364,,,,217.709,,,,,,,,,,,,,,,
05OJ022,2,8,2001,01,,,,,217.345,,217.658,,218.190,,217.976,,,,,,,,,,,,,
05OJ022,2,8,2001,02,,,,,217.343,,217.714,,218.254,,217.999,,,,,,,,,,,,,
05OJ022,2,8,2001,03,,,,,217.390,,217.796,,218.252,,217.790,,,,,,,,,,,,,
05OJ022,2,8,2001,04,,,,,217.369,,217.912,,218.193,,217.814,,,,,,,,,,,,,
05OJ022,2,8,2001,05,,,,,217.367,,218.066,,218.149,,217.762,,,,,,,,,,,,,
05OJ022,2,8,2001,06,,,,,217.332,,218.225,,218.157,,217.725,,,,,,,,,,,,,
05OJ022,2,8,2001,07,,,,,217.353,,218.389,,218.205,,217.711,A,,,,,,,,,,,,
05OJ022,2,8,2001,08,,,,,217.370,,218.564,,218.352,,217.696,,,,,,,,,,,,,
05OJ022,2,8,2001,09,,,,,217.326,,218.750,,218.342,,217.730,,,,,,,,,,,,,
05OJ022,2,8,2001,10,,,,,217.370,,219.172,,218.443,,217.702,,,,,,,,,,,,,
05OJ022,2,8,2001,11,,,,,217.325,,219.234,,218.323,,217.710,,,,,,,,,,,,,
05OJ022,2,8,2001,12,,,,,217.320,,218.797,,218.204,,217.850,,,,,,,,,,,,,
05OJ022,2,8,2001,13,,,,,217.362,,218.612,,218.160,,217.909,A,,,,,,,,,,,,
05OJ022,2,8,2001,14,,,,,217.350,,218.488,,218.079,,217.902,A,,,,,,,,,,,,
05OJ022,2,8,2001,15,,,,,217.334,,218.458,,218.108,,217.732,,,,,,,,,,,,,
